Interest Rate, Tree Call, BS Call,, Tree Put, BS Put,
0.01,20.997105,21.046115,0.2329%,10.140637,10.1506,0.0982%
0.02,21.477814,21.525038,0.2194%,9.734951,9.742919,0.0818%
0.03,21.962433,22.007894,0.2066%,9.341996,9.347992,0.0641%
0.04,22.450805,22.494529,0.1944%,8.961529,8.965578,0.0452%
0.05,22.942772,22.984789,0.1828%,8.593304,8.595437,0.0248%
0.06,23.438173,23.478517,0.1718%,8.237074,8.237325,0.0030%
0.07,23.936847,23.975555,0.1614%,7.892592,7.890998,-0.0202%
0.08,24.438628,24.47574,0.1516%,7.55961,7.556211,-0.0450%
0.09,25.021589,24.978912,-0.1709%,7.235819,7.232719,-0.0429%
0.1,25.525527,25.484907,-0.1594%,6.921531,6.920275,-0.0181%
0.11,26.032199,25.993562,-0.1486%,6.61812,6.618634,0.0078%
0.12,26.541442,26.50471,-0.1386%,6.325342,6.32755,0.0349%
0.13,27.053091,27.018188,-0.1292%,6.042953,6.046777,0.0632%
0.14,27.566981,27.533829,-0.1204%,5.770708,5.77607,0.0928%
0.15,28.082947,28.051468,-0.1122%,5.508363,5.515186,0.1237%
